"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CPI","TOT","IDX2015","A","1980",34.76896,
"USA","CPI","TOT","IDX2015","A","1981",38.36223,
"USA","CPI","TOT","IDX2015","A","1982",40.71438,
"USA","CPI","TOT","IDX2015","A","1983",42.0223,
"USA","CPI","TOT","IDX2015","A","1984",43.82949,
"USA","CPI","TOT","IDX2015","A","1985",45.38352,
"USA","CPI","TOT","IDX2015","A","1986",46.24493,
"USA","CPI","TOT","IDX2015","A","1987",47.9396,
"USA","CPI","TOT","IDX2015","A","1988",49.89445,
"USA","CPI","TOT","IDX2015","A","1989",52.30286,
"USA","CPI","TOT","IDX2015","A","1990",55.12614,
"USA","CPI","TOT","IDX2015","A","1991",57.46072,
"USA","CPI","TOT","IDX2015","A","1992",59.2011,
"USA","CPI","TOT","IDX2015","A","1993",60.94851,
"USA","CPI","TOT","IDX2015","A","1994",62.53771,
"USA","CPI","TOT","IDX2015","A","1995",64.29215,
"USA","CPI","TOT","IDX2015","A","1996",66.17669,
"USA","CPI","TOT","IDX2015","A","1997",67.72369,
"USA","CPI","TOT","IDX2015","A","1998",68.77496,
"USA","CPI","TOT","IDX2015","A","1999",70.27977,
"USA","CPI","TOT","IDX2015","A","2000",72.65302,
"USA","CPI","TOT","IDX2015","A","2001",74.70631,
"USA","CPI","TOT","IDX2015","A","2002",75.89118,
"USA","CPI","TOT","IDX2015","A","2003",77.61398,
"USA","CPI","TOT","IDX2015","A","2004",79.69189,
"USA","CPI","TOT","IDX2015","A","2005",82.39564,
"USA","CPI","TOT","IDX2015","A","2006",85.05367,
"USA","CPI","TOT","IDX2015","A","2007",87.47998,
"USA","CPI","TOT","IDX2015","A","2008",90.83842,
"USA","CPI","TOT","IDX2015","A","2009",90.51545,
"USA","CPI","TOT","IDX2015","A","2010",91.99994,
"USA","CPI","TOT","IDX2015","A","2011",94.90424,
"USA","CPI","TOT","IDX2015","A","2012",96.86812,
"USA","CPI","TOT","IDX2015","A","2013",98.28708,
"USA","CPI","TOT","IDX2015","A","2014",99.88152,
"USA","CPI","TOT","IDX2015","A","2015",100,
"USA","CPI","TOT","IDX2015","A","2016",101.2616,
"USA","CPI","TOT","IDX2015","A","2017",103.4186,
"USA","CPI","TOT","IDX2015","A","2018",105.9446,
"USA","CPI","TOT","IDX2015","A","2019",107.8646,
"USA","CPI","TOT","IDX2015","A","2020",109.1952,
"USA","CPI","TOT","IDX2015","A","2021",114.325,
"USA","CPI","TOT","IDX2015","A","2022",123.4742,
"OECD","CPI","TOT","IDX2015","A","1980",18.62922,
"OECD","CPI","TOT","IDX2015","A","1981",20.86377,
"OECD","CPI","TOT","IDX2015","A","1982",23.09164,
"OECD","CPI","TOT","IDX2015","A","1983",25.52246,
"OECD","CPI","TOT","IDX2015","A","1984",27.78972,
"OECD","CPI","TOT","IDX2015","A","1985",29.91215,
"OECD","CPI","TOT","IDX2015","A","1986",31.94927,
"OECD","CPI","TOT","IDX2015","A","1987",34.85669,
"OECD","CPI","TOT","IDX2015","A","1988",38.28542,
"OECD","CPI","TOT","IDX2015","A","1989",40.73157,
"OECD","CPI","TOT","IDX2015","A","1990",43.61742,
"OECD","CPI","TOT","IDX2015","A","1991",46.51504,
"OECD","CPI","TOT","IDX2015","A","1992",48.99594,
"OECD","CPI","TOT","IDX2015","A","1993",51.2758,
"OECD","CPI","TOT","IDX2015","A","1994",53.69928,
"OECD","CPI","TOT","IDX2015","A","1995",56.95793,
"OECD","CPI","TOT","IDX2015","A","1996",60.27304,
"OECD","CPI","TOT","IDX2015","A","1997",63.23276,
"OECD","CPI","TOT","IDX2015","A","1998",65.97236,
"OECD","CPI","TOT","IDX2015","A","1999",68.41452,
"OECD","CPI","TOT","IDX2015","A","2000",71.1902,
"OECD","CPI","TOT","IDX2015","A","2001",73.80383,
"OECD","CPI","TOT","IDX2015","A","2002",75.85651,
"OECD","CPI","TOT","IDX2015","A","2003",77.73818,
"OECD","CPI","TOT","IDX2015","A","2004",79.61285,
"OECD","CPI","TOT","IDX2015","A","2005",81.71783,
"OECD","CPI","TOT","IDX2015","A","2006",83.90138,
"OECD","CPI","TOT","IDX2015","A","2007",86.03959,
"OECD","CPI","TOT","IDX2015","A","2008",89.25497,
"OECD","CPI","TOT","IDX2015","A","2009",89.75132,
"OECD","CPI","TOT","IDX2015","A","2010",91.36908,
"OECD","CPI","TOT","IDX2015","A","2011",93.97208,
"OECD","CPI","TOT","IDX2015","A","2012",96.08001,
"OECD","CPI","TOT","IDX2015","A","2013",97.62125,
"OECD","CPI","TOT","IDX2015","A","2014",99.32075,
"OECD","CPI","TOT","IDX2015","A","2015",100,
"OECD","CPI","TOT","IDX2015","A","2016",101.1971,
"OECD","CPI","TOT","IDX2015","A","2017",103.5059,
"OECD","CPI","TOT","IDX2015","A","2018",106.2045,
"OECD","CPI","TOT","IDX2015","A","2019",108.4018,
"OECD","CPI","TOT","IDX2015","A","2020",109.8618,
"OECD","CPI","TOT","IDX2015","A","2021",114.2422,
"OECD","CPI","TOT","IDX2015","A","2022",125.152,
