****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 326503 ******* 

Variable    Labels
                                
V10001     RELEASE NUMBER                          
V10002     1984 INTERVIEW NUMBER                   
V10418     # IN FU 1984                                
S116       IMP WEALTH W/O EQUITY (WEALTH1) 1984      
S116A      ACC WEALTH W/O EQUITY (WEALTH1) 1984      
S117       IMP WEALTH W/ EQUITY (WEALTH2) 1984       
S117A      ACC WEALTH W/ EQUITY (WEALTH2) 1984       
V11101     RELEASE NUMBER                          
V11102     1985 INTERVIEW NUMBER                   
V11605     # IN FU 1985                                 
V12501     RELEASE NUMBER                          
V12502     1986 INTERVIEW NUMBER                   
V13010     # IN FU 1986                                 
V13701     RELEASE NUMBER                          
V13702     1987 INTERVIEW NUMBER                   
V14113     # IN FU 1987                                 
V14801     RELEASE NUMBER                          
V14802     1988 INTERVIEW NUMBER                   
V15129     # IN FU 1988                                
V16301     RELEASE NUMBER                          
V16302     1989 INTERVIEW NUMBER                   
V16630     # IN FU 1989                                
S216       IMP WEALTH W/O EQUITY (WEALTH1) 1989      
S216A      ACC WEALTH W/O EQUITY (WEALTH1) 1989      
S217       IMP WEALTH W/ EQUITY (WEALTH2) 1989       
S217A      ACC WEALTH W/ EQUITY (WEALTH2) 1989       
V17701     RELEASE NUMBER                          
V17702     1990 INTERVEW NUMBER                    
V18048     # IN FU 1990                                 
V19001     RELEASE NUMBER                          
V19002     1991 INTERVIEW NUMBER                   
V19348     # IN FU 1991                                
V20301     RELEASE NUMBER                          
V20302     1992 INTERVIEW NUMBER                   
V20650     # IN FU 1992                                
ER2001     RELEASE NUMBER                          
ER2002     1994 INTERVIEW #                        
ER2006     # IN FU 1994                                
S316       IMP WEALTH W/O EQUITY (WEALTH1) 1994      
S316A      ACC WEALTH W/O EQUITY (WEALTH1) 1994      
S317       IMP WEALTH W/ EQUITY (WEALTH2) 1994       
S317A      ACC WEALTH W/ EQUITY (WEALTH2) 1994       
ER5001     RELEASE NUMBER                          
ER5002     1995 INTERVIEW #                        
ER5005     # IN FU 1995                                 
ER7001     RELEASE NUMBER                          
ER7002     1996 INTERVIEW #                        
ER7005     # IN FU 1996                                
ER10001    RELEASE NUMBER                          
ER10002    1997 INTERVIEW #                        
ER10008    # IN FU 1997                                
ER13001    RELEASE NUMBER                          
ER13002    1999 FAMILY INTERVIEW (ID) NUMBER       
ER13009    # IN FU 1999                                
S416       IMP WEALTH W/O EQUITY (WEALTH1) 1999      
S416A      ACC WEALTH W/O EQUITY (WEALTH1) 1999      
S417       IMP WEALTH W/ EQUITY (WEALTH2) 1999       
S417A      ACC WEALTH W/ EQUITY (WEALTH2) 1999       
ER17001    RELEASE NUMBER                          
ER17002    2001 FAMILY INTERVIEW (ID) NUMBER       
ER17012    # IN FU 2001                                
S516       IMP WEALTH W/O EQUITY (WEALTH1) 2001      
S516A      ACC WEALTH W/O EQUITY (WEALTH1) 2001      
