V10002,S117,S117A,V16302,S217,S217A,ER2002,S317,S317A,ER13002,S417,S417A,ER17002,S517,S517A,ER21002,S617,S617A,ER25002,S717,S717A,ER36002,S817,S817A,ER42001,ER42002,ER46970,ER46971,ER47301,ER47302,ER52394,ER52395,ER53001,ER53002,ER58211,ER58212,ER60001,ER60002,ER65408,ER65409,ER66001,ER66002,ER71485,ER71486,ER72001,ER72002,ER77511,ER77512,ER78001,ER78002,ER81838,ER81839
504,-169,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3265,79470,1,1944,150500,0,11735,145000,0,3,91500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2332,28660,0,1225,12300,0,11733,3500,0,2,26000,0,96,113050,0,1392,124000,0,289,127200,0,148,150800,0,6,13,140200,0,6,218,136300,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,6129,413500,0,5987,493000,0,6278,467000,0,2356,424000,0,5399,2920000,1,6,1827,878000,1,6,8397,1600000,0,4,7517,1470000,0,,,,,,,,,,,,,,,,
3142,5800,0,,,,11739,12000,0,,,,,,,4812,7800,0,4097,-4500,0,720,-30500,0,6,1840,17000,0,6,2541,10000,0,4,8684,4000,1,2,8474,1000,0,3,5620,2000,0,1,4574,1200,0,,,,
,,,,,,,,,6944,42000,0,7091,41000,0,,,,6880,75000,0,,,,,,,,,,,,,,,,,,,,3,8559,83000,0,1,8597,195000,0,2,4890,230000,0
,,,2780,8685,0,,,,3818,20000,0,5964,148000,0,5536,90200,0,1288,167000,0,,,,6,8582,152000,1,6,2845,148000,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1702,12700,0,,,,,,,,,,,,,,,,,,,,,,,,,2,1428,5000,0,3,6510,0,0,1,6314,0,0,2,3944,0,0
,,,,,,,,,,,,5479,-1150,0,6061,8050,0,641,1000,0,189,11400,0,6,5839,1500,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,5478,3000,0,5665,4000,0,5552,3000,0,1299,1500,0,,,,6,2003,0,0,,,,,4,8434,7000,1,2,4738,1200,0,3,9172,1000,0,1,7898,2000,0,2,2163,0,0
,,,,,,,,,2471,12500,1,6754,29000,0,,,,7811,121200,1,,,,6,8333,129000,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,6965,5000,0,,,,,,,7971,40000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6,8180,18240,0,6,7655,-1798,0,4,8569,503,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7682,2500,0,1,7781,14000,1,2,6326,7500,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9421,-2000,0,1,4983,-1000,0,2,2919,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2147,0,0,,,,,,,,,3,6393,-95000,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7535,32000,1
,,,3235,2400,0,11738,27000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1382,79824,1,1489,161500,0,11734,393950,0,2122,83000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2779,70500,0,11736,90000,0,2560,109100,0,6522,300500,0,5558,752000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11737,31500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1130,5000,1,6,77,5000,1,,,,,4,2176,0,0,,,,,,,,,,,,,2,3753,113765,1
,,,,,,14297,556000,0,6906,487000,0,6872,329500,1,7782,515000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,4920,40000,0,5599,23000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,5480,11900,0,5974,-1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7308,172641,1,6570,218000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,285,11500,0,1427,4000,0,1157,4000,0,196,1509,0,6,684,5000,1,6,1513,7000,0,4,7300,30000,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6443,50600,1,771,62000,0,5740,74000,1,6,950,148600,1,6,80,80000,0,4,8687,372000,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6,8468,210500,0,,,,,4,8329,61200,0,2,6780,62500,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5963,1500,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1602,1500,0,4,8698,-21100,0,2,7304,-43500,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1839,12000,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3252,20000,0,3,4293,6000,0,1,4681,15200,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1032,1300,0,,,,,,,,,,,,
