Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,TopPt1,1762391,1808606,143488,198323,297922,10305,28192,599520,530857,46215,15658,21049,9508
1989:Q3,RemainingTop1,2838759,2920149,451112,161090,573938,109570,74104,717368,832967,81390,62316,5362,13712
1989:Q3,Next9,7635884,8139557,2072591,418484,813520,1411757,425100,1033689,1964416,503673,397505,56498,49670
1989:Q3,Next40,7408899,8981103,3414515,759414,345951,1787955,423988,573004,1676275,1572203,1160802,363608,47793
1989:Q3,Bottom50,777847,1724801,811022,359038,24357,158378,56424,46045,269536,946954,574409,337691,34854
1989:Q4,TopPt1,1812715,1856492,157437,199204,310170,12901,27186,607091,542503,43777,15041,19301,9435
1989:Q4,RemainingTop1,2905496,2993497,472724,161952,587986,115902,77968,725211,851755,88001,66047,5827,16127
1989:Q4,Next9,7770202,8288348,2111044,418604,831668,1437083,444537,1044042,2001370,518146,409298,59714,49134
1989:Q4,Next40,7543056,9139729,3437254,775685,362275,1838591,442186,573771,1709967,1596673,1179615,369931,47127
1989:Q4,Bottom50,773147,1751629,815859,370329,25941,159657,58111,46715,275017,978482,590114,354513,33855
1990:Q1,TopPt1,1805996,1847290,168101,186188,283931,15375,25276,617401,551018,41293,14670,17121,9502
1990:Q1,RemainingTop1,2897829,2992509,482977,165599,546629,121831,79605,733735,862133,94681,70367,6647,17667
1990:Q1,Next9,7768099,8310735,2103445,433154,785097,1453537,452092,1056266,2027144,542636,431483,59753,51400
1990:Q1,Next40,7632482,9242916,3450401,798240,357423,1880886,445724,574537,1735705,1610434,1205164,356720,48550
1990:Q1,Bottom50,802257,1801133,845415,383948,25822,160851,58022,47427,279647,998875,613228,352079,33568
1990:Q2,TopPt1,1850643,1889674,180670,187139,298211,17832,23644,624184,557994,39031,14286,15375,9370
1990:Q2,RemainingTop1,2940394,3041243,499341,165925,562509,127968,82049,740500,862951,100849,74206,7213,19430
1990:Q2,Next9,7852815,8417841,2127506,432152,805726,1473602,470366,1064609,2043879,565025,451981,61570,51474
