,Percentile,Wealth
0,0.0,-11479000.0
1,0.01,-3554782.3999999994
2,0.02,-2007492.7999999998
3,0.03,-1633871.296
4,0.04,-1138383.8719999997
5,0.05,-750489.6000000001
6,0.06,-599598.0800000001
7,0.07,-522331.1999999999
8,0.08,-497209.6
9,0.09,-494777.6
10,0.1,-491671.2
11,0.11,-465549.27999999997
12,0.12,-437480.0
13,0.13,-428369.6
14,0.14,-415119.99999999994
15,0.15,-398345.6
16,0.16,-393354.56
17,0.17,-388734.4
18,0.18,-386220.8
19,0.19,-377849.6
20,0.2,-367592.0
21,0.21,-364536.0
22,0.22,-359603.2
23,0.23,-351682.8864
24,0.24,-304274.4032000002
25,0.25,-301852.08
26,0.26,-300221.76
27,0.27,-298466.176
28,0.28,-298033.536
29,0.29,-287165.60000000003
30,0.3,-281106.4
31,0.31,-275408.32
32,0.32,-269912.0
33,0.33,-259958.4
34,0.34,-249219.19999999995
35,0.35000000000000003,-244512.0
36,0.36,-243555.2
37,0.37,-242518.08
38,0.38,-240796.47999999998
39,0.39,-238054.4
40,0.4,-235972.8
41,0.41000000000000003,-234778.87999999998
42,0.42,-230814.4
43,0.43,-229003.19999999998
44,0.44,-222890.88
45,0.45,-221872.0
46,0.46,-221369.28
47,0.47000000000000003,-219072.96
48,0.48,-218073.6
49,0.49,-217116.80000000002
50,0.5,-217000.0
51,0.51,-213812.8
52,0.52,-211869.6
53,0.53,-211500.0
54,0.54,-207830.4
55,0.55,-205376.0
56,0.56,-204587.63199999998
57,0.5700000000000001,-203757.77599999998
58,0.58,-202162.88
59,0.59,-200548.8
60,0.6,-199995.92
61,0.61,-198844.52800000002
62,0.62,-196255.04
63,0.63,-195000.0
64,0.64,-194635.44
65,0.65,-192979.59999999998
66,0.66,-190866.08
67,0.67,-190089.44
68,0.68,-190000.0
69,0.6900000000000001,-189994.24
70,0.7000000000000001,-189707.19999999998
71,0.71,-186901.6
72,0.72,-186522.08
73,0.73,-186076.8
74,0.74,-185196.8
75,0.75,-185000.0
76,0.76,-185000.0
77,0.77,-182911.83999999997
78,0.78,-180323.99999999997
79,0.79,-179047.68
80,0.8,-178473.6
81,0.81,-178099.84
82,0.8200000000000001,-176169.59999999995
83,0.8300000000000001,-173585.6
84,0.84,-172814.4
85,0.85,-172434.4
86,0.86,-172214.56
87,0.87,-171758.40000000002
88,0.88,-170801.6
89,0.89,-170000.0
90,0.9,-169663.99999999997
91,0.91,-166927.75999999998
92,0.92,-165912.88
93,0.93,-164525.52
94,0.9400000000000001,-164312.16
95,0.9500000000000001,-159103.19999999992
96,0.96,-157647.2
97,0.97,-156285.6
98,0.98,-155233.6
99,0.99,-154855.36000000002
100,1.0,-153457.68
101,1.01,-152300.0032
102,1.02,-152000.0
103,1.03,-152000.0
104,1.04,-151594.24
105,1.05,-151107.2
106,1.06,-150579.2
107,1.07,-150000.0
108,1.08,-150000.0
109,1.09,-150000.0
110,1.1,-149962.8
111,1.11,-149778.32
112,1.12,-149479.6384
113,1.1300000000000001,-149211.3184
114,1.1400000000000001,-147962.4
115,1.1500000000000001,-147451.99999999997
116,1.16,-146016.80000000002
117,1.17,-146000.0
118,1.18,-145548.8
119,1.19,-145070.4
120,1.2,-144184.0
121,1.21,-144000.0
122,1.22,-143489.28
123,1.23,-143094.08
124,1.24,-142678.4
125,1.25,-142500.0
126,1.26,-142221.6
127,1.27,-142000.0
128,1.28,-141529.59999999998
129,1.29,-141000.0
130,1.3,-140616.0
131,1.31,-140000.0
132,1.32,-139970.24
133,1.33,-139671.04
134,1.34,-138894.4
135,1.35,-138466.4
136,1.36,-138262.56
137,1.37,-137836.8
138,1.3800000000000001,-136000.0
139,1.3900000000000001,-136000.0
140,1.4000000000000001,-133619.99999999994
141,1.41,-132136.80000000002
142,1.42,-131567.2
143,1.43,-130266.39999999998
144,1.44,-130000.0
145,1.45,-130000.0
146,1.46,-128614.4
147,1.47,-128000.0
148,1.48,-127393.59999999999
149,1.49,-126774.72
150,1.5,-125768.00000000003
151,1.51,-125000.0
152,1.52,-125000.0
153,1.53,-124863.36
154,1.54,-124424.31999999999
155,1.55,-123392.0
156,1.56,-121347.99999999996
157,1.57,-119412.95999999999
158,1.58,-119082.56
159,1.59,-119000.0
160,1.6,-119000.0
161,1.61,-118982.08
162,1.62,-118598.87999999998
163,1.6300000000000001,-117929.12
164,1.6400000000000001,-116113.52959999995
165,1.6500000000000001,-115818.944
166,1.6600000000000001,-115800.0
167,1.67,-115171.52
168,1.68,-115000.0
169,1.69,-115000.0
170,1.7,-114836.0
171,1.71,-114596.8
172,1.72,-114500.0
173,1.73,-114500.0
174,1.74,-114258.40000000001
175,1.75,-114000.0
176,1.76,-113603.19999999998
177,1.77,-112549.16
178,1.78,-111189.56000000003
179,1.79,-110000.0
180,1.8,-110000.0
181,1.81,-109981.92
182,1.82,-109844.95999999999
183,1.83,-109452.8
184,1.84,-108974.40000000001
185,1.85,-108495.99999999999
186,1.86,-108017.59999999999
187,1.87,-107078.4
188,1.8800000000000001,-106912.16
189,1.8900000000000001,-106649.44
190,1.9000000000000001,-105261.51999999995
191,1.9100000000000001,-104228.59199999999
192,1.92,-103435.52000000002
193,1.93,-103067.52
194,1.94,-102876.16
195,1.95,-102339.20000000001
196,1.96,-101413.92000000003
197,1.97,-100753.12
198,1.98,-100332.16
199,1.99,-99963.712
200,2.0,-99744.4
201,2.0100000000000002,-99397.72799999999
202,2.02,-99207.024
203,2.0300000000000002,-98769.59999999996
204,2.04,-97981.28
205,2.05,-97813.60000000002
206,2.06,-97289.92
207,2.07,-97188.48
208,2.08,-96999.28
209,2.09,-96951.44
210,2.1,-96068.39999999998
211,2.11,-95115.20000000001
212,2.12,-94579.2
213,2.13,-94260.48000000001
214,2.14,-94124.48
215,2.15,-94028.8
216,2.16,-94000.0
217,2.17,-93562.08
218,2.18,-93241.76
219,2.19,-92768.64
220,2.2,-92400.0
221,2.21,-92218.88000000002
222,2.22,-92000.0
223,2.23,-92000.0
224,2.24,-91870.71999999999
225,2.25,-91572.0
226,2.2600000000000002,-91381.59999999999
227,2.27,-91000.0
228,2.2800000000000002,-90939.84
229,2.29,-90535.68
230,2.3000000000000003,-90000.0
231,2.31,-90000.0
232,2.32,-90000.0
233,2.33,-90000.0
234,2.34,-89977.72
235,2.35,-89572.2
236,2.36,-89456.5408
237,2.37,-89258.6464
238,2.38,-88912.64000000001
239,2.39,-88664.95999999999
240,2.4,-88536.8
241,2.41,-88500.0
242,2.42,-88227.20000000001
243,2.43,-88000.0
244,2.44,-87954.08
245,2.45,-87816.8
246,2.46,-87178.07999999999
247,2.47,-86267.04
248,2.48,-85856.32000000002
249,2.49,-85000.0
250,2.5,-85000.0
251,2.5100000000000002,-85000.0
252,2.52,-84988.64
253,2.5300000000000002,-84871.83999999998
254,2.54,-84486.40000000001
255,2.5500000000000003,-84008.0
256,2.56,-84000.0
257,2.57,-84000.0
258,2.58,-84000.0
259,2.59,-83594.40000000001
260,2.6,-83500.0
261,2.61,-83355.04000000001
262,2.62,-83095.52
263,2.63,-83000.0
264,2.64,-82761.92
265,2.65,-82462.0
266,2.66,-82171.92
267,2.67,-82000.0
268,2.68,-81936.64
269,2.69,-81717.27999999998
270,2.7,-81399.2
271,2.71,-81141.44
272,2.72,-81000.0
273,2.73,-81000.0
274,2.74,-81000.0
275,2.75,-80946.0
276,2.7600000000000002,-80546.16
277,2.77,-80500.0
278,2.7800000000000002,-80500.0
279,2.79,-80026.4
280,2.8000000000000003,-80000.0
281,2.81,-80000.0
282,2.82,-80000.0
283,2.83,-80000.0
284,2.84,-80000.0
285,2.85,-80000.0
286,2.86,-80000.0
287,2.87,-79909.76
288,2.88,-79822.08
289,2.89,-79696.96
290,2.9,-79552.8
291,2.91,-79328.48
292,2.92,-78984.31999999999
293,2.93,-78765.76
294,2.94,-78595.28
295,2.95,-78260.4
296,2.96,-78000.0
297,2.97,-78000.0
298,2.98,-78000.0
299,2.99,-77991.68
300,3.0,-77896.0
301,3.0100000000000002,-77800.31999999999
302,3.02,-77704.64
303,3.0300000000000002,-77608.95999999999
304,3.04,-77513.28
305,3.0500000000000003,-77500.0
306,3.06,-77500.0
307,3.0700000000000003,-77463.12
308,3.08,-77137.51999999999
309,3.09,-76902.32
310,3.1,-76819.6
311,3.11,-76348.16
312,3.12,-76000.0
313,3.13,-76000.0
314,3.14,-76000.0
315,3.15,-76000.0
316,3.16,-76000.0
317,3.17,-75847.20000000001
318,3.18,-75447.52
319,3.19,-75234.24
320,3.2,-75000.0
321,3.21,-75000.0
322,3.22,-75000.0
323,3.23,-75000.0
324,3.24,-75000.0
325,3.25,-75000.0
326,3.2600000000000002,-74541.59999999999
327,3.27,-74500.0
328,3.2800000000000002,-74500.0
329,3.29,-74500.0
330,3.3000000000000003,-74276.79999999999
331,3.31,-74059.84000000001
332,3.3200000000000003,-74000.0
333,3.33,-74000.0
334,3.34,-73885.76000000001
335,3.35,-73641.59999999999
336,3.36,-73257.59999999999
337,3.37,-73000.0
338,3.38,-73000.0
339,3.39,-73000.0
340,3.4,-72844.0
341,3.41,-72473.12
342,3.42,-72309.76000000001
343,3.43,-71999.6352
344,3.44,-71900.8384
345,3.45,-71252.0
346,3.46,-70784.16
347,3.47,-70497.12
348,3.48,-70210.08000000002
349,3.49,-70015.36
350,3.5,-70000.0
351,3.5100000000000002,-70000.0
352,3.52,-70000.0
353,3.5300000000000002,-70000.0
354,3.54,-70000.0
355,3.5500000000000003,-70000.0
356,3.56,-69875.84000000001
357,3.5700000000000003,-69800.0
358,3.58,-69746.56
359,3.59,-69601.76
360,3.6,-69500.0
361,3.61,-69459.52
362,3.62,-69291.52
363,3.63,-69068.16
364,3.64,-69000.0
365,3.65,-68976.8
366,3.66,-68767.84
367,3.67,-68025.28000000007
368,3.68,-67000.0
369,3.69,-66988.15999999999
370,3.7,-66782.39999999992
371,3.71,-65729.92
372,3.72,-65421.11999999999
373,3.73,-65395.568
374,3.74,-65230.575999999994
375,3.75,-65040.0
376,3.7600000000000002,-65000.0
377,3.77,-65000.0
378,3.7800000000000002,-65000.0
379,3.79,-64686.399999999994
380,3.8000000000000003,-64324.79999999998
381,3.81,-64145.92
382,3.8200000000000003,-64050.24
383,3.83,-64000.0
384,3.84,-64000.0
385,3.85,-63816.0
386,3.86,-63370.08000000001
387,3.87,-63071.840000000004
388,3.88,-63000.0
389,3.89,-63000.0
390,3.9,-62981.76
391,3.91,-62871.295999999995
392,3.92,-62793.44
393,3.93,-62695.52
394,3.94,-62504.16
395,3.95,-62500.0
396,3.96,-62500.0
397,3.97,-62330.08
398,3.98,-62138.72
399,3.99,-62023.67999999999
400,4.0,-61855.99999999999
401,4.01,-61800.0
402,4.0200000000000005,-61609.919999999984
403,4.03,-61500.0
404,4.04,-61500.0
405,4.05,-61399.2
406,4.0600000000000005,-61161.75999999998
407,4.07,-61000.0
408,4.08,-61000.0
409,4.09,-61000.0
410,4.1,-60971.200000000004
411,4.11,-60826.55999999998
412,4.12,-60579.840000000004
413,4.13,-60500.0
414,4.14,-60442.399999999994
415,4.15,-60000.0
416,4.16,-60000.0
417,4.17,-60000.0
418,4.18,-60000.0
419,4.19,-60000.0
420,4.2,-60000.0
421,4.21,-60000.0
422,4.22,-60000.0
423,4.23,-60000.0
424,4.24,-60000.0
425,4.25,-60000.0
426,4.26,-59940.32
427,4.2700000000000005,-59900.0
428,4.28,-59674.40319999997
429,4.29,-59337.462400000004
430,4.3,-59115.200000000004
431,4.3100000000000005,-59000.0
432,4.32,-59000.0
433,4.33,-58998.528
434,4.34,-58971.136
435,4.3500000000000005,-58837.59999999999
436,4.36,-58583.52
437,4.37,-58500.0
438,4.38,-58500.0
439,4.39,-58482.400000000016
440,4.4,-58003.99999999999
441,4.41,-58000.0
442,4.42,-58000.0
443,4.43,-57741.280000000006
444,4.44,-57536.159999999996
445,4.45,-57500.0
446,4.46,-57481.68
447,4.47,-57147.44000000001
448,4.48,-57000.0
449,4.49,-57000.0
450,4.5,-57000.0
451,4.51,-57000.0
452,4.5200000000000005,-57000.0
453,4.53,-57000.0
454,4.54,-57000.0
455,4.55,-57000.0
456,4.5600000000000005,-56849.599999999984
457,4.57,-56500.0
458,4.58,-56457.119999999995
459,4.59,-56265.76000000001
460,4.6000000000000005,-56087.2
461,4.61,-56000.0
462,4.62,-56000.0
463,4.63,-56000.0
464,4.64,-55808.96
465,4.65,-55708.79999999999
466,4.66,-55439.35999999999
467,4.67,-55234.88
468,4.68,-55043.52000000001
469,4.69,-55000.0
470,4.7,-55000.0
471,4.71,-55000.0
472,4.72,-55000.0
473,4.73,-55000.0
474,4.74,-55000.0
475,4.75,-54997.6
476,4.76,-54953.50400000001
477,4.7700000000000005,-54860.63999999999
478,4.78,-54691.025599999986
479,4.79,-54461.6592
480,4.8,-54294.399999999994
481,4.8100000000000005,-54000.0
482,4.82,-54000.0
483,4.83,-53993.28
484,4.84,-53936.32000000001
485,4.8500000000000005,-53790.39999999999
486,4.86,-53600.0
487,4.87,-53600.0
488,4.88,-53467.750400000004
489,4.89,-53056.9088
490,4.9,-53000.0
491,4.91,-53000.0
492,4.92,-53000.0
493,4.93,-52648.800000000025
494,4.94,-52434.079999999994
495,4.95,-52276.79999999999
496,4.96,-52165.632000000005
497,4.97,-52065.85600000001
498,4.98,-52000.0
499,4.99,-52000.0
500,5.0,-52000.0
501,5.01,-51996.432
502,5.0200000000000005,-51966.479999999996
503,5.03,-51883.903999999995
504,5.04,-51717.29920000001
505,5.05,-51429.376000000004
506,5.0600000000000005,-51385.91999999999
507,5.07,-51290.24
508,5.08,-51189.12
509,5.09,-51000.0
510,5.1000000000000005,-51000.0
511,5.11,-51000.0
512,5.12,-51000.0
513,5.13,-50994.1312
514,5.14,-50760.00640000001
515,5.15,-50549.599999999984
516,5.16,-50439.752
517,5.17,-50351.768000000004
518,5.18,-50245.312000000005
519,5.19,-50084.159999999996
520,5.2,-50000.0
521,5.21,-50000.0
522,5.22,-50000.0
523,5.23,-50000.0
524,5.24,-50000.0
525,5.25,-50000.0
526,5.26,-50000.0
527,5.2700000000000005,-49998.832
528,5.28,-49967.392
529,5.29,-49842.64
530,5.3,-49800.0
531,5.3100000000000005,-49793.91999999999
532,5.32,-49696.479999999996
533,5.33,-49505.12
534,5.34,-49500.0
535,5.3500000000000005,-49100.39999999999
536,5.36,-49007.76
537,5.37,-49000.0
538,5.38,-49000.0
539,5.39,-48856.96000000001
540,5.4,-48598.399999999994
541,5.41,-48185.59999999996
542,5.42,-48000.0
543,5.43,-48000.0
544,5.44,-48000.0
545,5.45,-48000.0
546,5.46,-48000.0
547,5.47,-48000.0
548,5.48,-48000.0
549,5.49,-47886.71999999997
550,5.5,-47576.0
551,5.51,-47450.80000000002
552,5.5200000000000005,-47242.31999999999
553,5.53,-47177.92
554,5.54,-46993.280000000006
555,5.55,-46897.6
556,5.5600000000000005,-46801.92
557,5.57,-46518.72000000001
558,5.58,-46119.87999999999
559,5.59,-46011.16
560,5.6000000000000005,-46000.0
561,5.61,-45847.03999999999
562,5.62,-45583.52000000001
563,5.63,-45500.0
564,5.64,-45500.0
565,5.65,-45500.0
566,5.66,-45335.35999999999
567,5.67,-45098.880000000005
568,5.68,-45000.0
569,5.69,-45000.0
570,5.7,-45000.0
571,5.71,-44900.159999999996
572,5.72,-44642.07999999999
573,5.73,-44500.0
574,5.74,-44489.84
575,5.75,-44426.00000000001
576,5.76,-44300.0
577,5.7700000000000005,-44291.16799999999
578,5.78,-44177.568
579,5.79,-44101.024
580,5.8,-44100.0
581,5.8100000000000005,-44100.0
582,5.82,-44014.24
583,5.83,-44000.0
584,5.84,-44000.0
585,5.8500000000000005,-44000.0
586,5.86,-44000.0
587,5.87,-43807.51999999999
588,5.88,-43700.0
589,5.89,-43588.96000000002
590,5.9,-43500.0
591,5.91,-43440.462400000004
592,5.92,-43320.65119999999
593,5.93,-43230.880000000005
594,5.94,-43200.0
595,5.95,-43188.159999999996
596,5.96,-43119.552
597,5.97,-43000.0
598,5.98,-43000.0
599,5.99,-43000.0
600,6.0,-43000.0
601,6.01,-43000.0
602,6.0200000000000005,-43000.0
603,6.03,-42738.640000000014
604,6.04,-42656.96
605,6.05,-42520.399999999994
606,6.0600000000000005,-42500.0
607,6.07,-42111.2
608,6.08,-42000.0
609,6.09,-42000.0
610,6.1000000000000005,-42000.0
611,6.11,-41818.55999999998
612,6.12,-41680.9056
613,6.13,-41579.94559999999
614,6.140000000000001,-41476.24
615,6.15,-41428.4
616,6.16,-41244.479999999974
617,6.17,-41000.0
618,6.18,-41000.0
619,6.19,-41000.0
620,6.2,-41000.0
621,6.21,-40982.719999999994
622,6.22,-40900.0
623,6.23,-40891.36
624,6.24,-40795.67999999999
625,6.25,-40700.0
626,6.26,-40503.85599999999
627,6.2700000000000005,-40316.84799999998
628,6.28,-40212.959999999985
629,6.29,-40200.0
630,6.3,-40043.200000000004
631,6.3100000000000005,-40000.0
632,6.32,-40000.0
633,6.33,-40000.0
634,6.34,-40000.0
635,6.3500000000000005,-40000.0
636,6.36,-40000.0
637,6.37,-40000.0
638,6.38,-39983.7792
639,6.390000000000001,-39938.10239999999
640,6.4,-39892.96
641,6.41,-39855.296
642,6.42,-39800.0
643,6.43,-39733.28
644,6.44,-39482.079999999994
645,6.45,-39386.4
646,6.46,-39272.159999999996
647,6.47,-39000.0
648,6.48,-38998.91199999998
649,6.49,-38836.255999999994
650,6.5,-38802.399999999994
651,6.51,-38536.960000000036
652,6.5200000000000005,-38416.63999999999
653,6.53,-38083.84000000001
654,6.54,-38000.0
655,6.55,-38000.0
656,6.5600000000000005,-38000.0
657,6.57,-38000.0
658,6.58,-38000.0
659,6.59,-38000.0
660,6.6000000000000005,-38000.0
661,6.61,-38000.0
662,6.62,-38000.0
663,6.63,-38000.0
664,6.640000000000001,-38000.0
665,6.65,-37999.456
666,6.66,-37929.81759999997
667,6.67,-37662.88000000002
668,6.68,-37485.76
669,6.69,-37368.256
670,6.7,-37075.52
671,6.71,-37000.0
672,6.72,-37000.0
673,6.73,-36907.36000000001
674,6.74,-36811.68
675,6.75,-36547.99999999999
676,6.76,-36500.0
677,6.7700000000000005,-36500.0
678,6.78,-36500.0
679,6.79,-36466.64
680,6.8,-36434.4
681,6.8100000000000005,-36410.479999999996
682,6.82,-36184.96
683,6.83,-36000.0
684,6.84,-36000.0
685,6.8500000000000005,-36000.0
686,6.86,-36000.0
687,6.87,-36000.0
688,6.88,-36000.0
689,6.890000000000001,-36000.0
690,6.9,-36000.0
691,6.91,-36000.0
692,6.92,-35997.888
693,6.93,-35977.1296
694,6.94,-35933.3472
695,6.95,-35900.816
696,6.96,-35806.72000000001
697,6.97,-35800.0
698,6.98,-35630.719999999994
699,6.99,-35519.67999999999
700,7.0,-35500.0
701,7.01,-35428.32000000001
702,7.0200000000000005,-35130.56000000001
703,7.03,-35000.0
704,7.04,-35000.0
705,7.05,-35000.0
706,7.0600000000000005,-35000.0
707,7.07,-35000.0
708,7.08,-35000.0
709,7.09,-35000.0
710,7.1000000000000005,-35000.0
711,7.11,-34971.52
712,7.12,-34900.0
713,7.13,-34880.16
714,7.140000000000001,-34800.0
715,7.15,-34788.79999999999
716,7.16,-34700.0
717,7.17,-34700.0
718,7.18,-34700.0
719,7.19,-34480.227199999994
720,7.2,-34305.61599999999
721,7.21,-34212.8064
722,7.22,-34119.03999999999
723,7.23,-34023.36
724,7.24,-34000.0
725,7.25,-34000.0
726,7.26,-34000.0
727,7.2700000000000005,-34000.0
728,7.28,-34000.0
729,7.29,-34000.0
730,7.3,-34000.0
731,7.3100000000000005,-34000.0
732,7.32,-34000.0
733,7.33,-34000.0
734,7.34,-33994.176
735,7.3500000000000005,-33935.35999999999
736,7.36,-33779.520000000004
737,7.37,-33691.92
738,7.38,-33632.23999999999
739,7.390000000000001,-33492.47999999999
740,7.4,-33396.79999999999
741,7.41,-33301.12
742,7.42,-33205.44
743,7.43,-33019.52000000001
744,7.44,-33000.0
745,7.45,-33000.0
746,7.46,-33000.0
747,7.47,-33000.0
748,7.48,-33000.0
749,7.49,-32678.399999999954
750,7.5,-32500.0
751,7.51,-32360.80000000001
752,7.5200000000000005,-32121.600000000002
753,7.53,-32000.0
754,7.54,-32000.0
755,7.55,-32000.0
756,7.5600000000000005,-31962.511999999995
757,7.57,-31773.936000000005
758,7.58,-31500.0
759,7.59,-31500.0
760,7.6000000000000005,-31500.0
761,7.61,-31475.03999999999
762,7.62,-31287.596800000003
763,7.63,-31142.316800000015
764,7.640000000000001,-31000.71039999999
765,7.65,-31000.0
766,7.66,-31000.0
767,7.67,-31000.0
768,7.68,-31000.0
769,7.69,-30844.15999999999
770,7.7,-30800.0
771,7.71,-30592.15999999999
772,7.72,-30500.0
773,7.73,-30500.0
774,7.74,-30443.680000000008
775,7.75,-30348.0
776,7.76,-30276.16
777,7.7700000000000005,-30184.95999999999
778,7.78,-30060.95999999999
779,7.79,-30000.0
780,7.8,-30000.0
781,7.8100000000000005,-30000.0
782,7.82,-30000.0
783,7.83,-30000.0
784,7.84,-30000.0
785,7.8500000000000005,-30000.0
786,7.86,-30000.0
787,7.87,-30000.0
788,7.88,-30000.0
789,7.890000000000001,-30000.0
790,7.9,-30000.0
791,7.91,-30000.0
792,7.92,-30000.0
793,7.930000000000001,-30000.0
794,7.94,-30000.0
795,7.95,-30000.0
796,7.96,-30000.0
797,7.97,-30000.0
798,7.98,-29958.940799999993
799,7.99,-29894.9408
800,8.0,-29836.959999999995
801,8.01,-29800.0
802,8.02,-29763.93280000001
803,8.03,-29636.54080000001
804,8.040000000000001,-29500.0
805,8.05,-29500.0
806,8.06,-29500.0
807,8.07,-29472.479999999996
808,8.08,-29300.0
809,8.09,-29293.600000000002
810,8.1,-29174.88
811,8.11,-29160.528000000002
812,8.120000000000001,-29150.784
813,8.13,-29018.23999999999
